label,info,image path,page url
gyrfalcon,"The gyrfalcon ( or ) (Falco rusticolus), the largest of the falcon species, is a bird of prey. The abbreviation gyr is also used.",https://upload.wikimedia.org/wikipedia/commons/6/62/Aa_gyrtiercel_2006_03_18.jpg,https://en.wikipedia.org/wiki/Gyrfalcon
hamerkop,"The hamerkop (Scopus umbretta), is a medium-sized wading bird. It is  the only living species in the genus Scopus and the family Scopidae.",https://upload.wikimedia.org/wikipedia/commons/1/10/A_hamerkop_%28Scopus_umbretta%29_about_to_eat_a_fish.jpg,https://en.wikipedia.org/wiki/Hamerkop
harlequin duck,"The harlequin duck (Histrionicus histrionicus) is a small sea duck. It takes its name from Harlequin (French Arlequin, Italian Arlecchino), a colourfully dressed character in Commedia dell'arte.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Chelychelynechen_quassus.jpg,https://en.wikipedia.org/wiki/Harlequin_duck
harlequin quail,The harlequin quail (Coturnix delegorguei) is a species of bird in the family Phasianidae. It occurs in sub-Saharan Africa and in the Arabian Peninsula.,https://upload.wikimedia.org/wikipedia/commons/1/17/Harlequin_Quail_%28Coturnix_delegorguei%29_%286035291347%29%2C_crop1.jpg,https://en.wikipedia.org/wiki/Harlequin_quail
harpy eagle,"Eagle is the common name for many large birds of prey of the family Accipitridae. Eagles belong to several groups of genera, some of which are closely related.",NO IMG,https://en.wikipedia.org/wiki/Eagle
hawaiian goose,"The nene (Branta sandvicensis), also known as the nēnē or the Hawaiian goose, is a species of bird endemic to the Hawaiian Islands. The nene is exclusively found in the wild on the islands of Oahu, Maui, Kauaʻi, Molokai, and Hawaiʻi.",https://upload.wikimedia.org/wikipedia/commons/6/6d/Branta_sandvicensis-pair_calling.jpg,https://en.wikipedia.org/wiki/Nene_(bird)
hawfinch,The Japanese grosbeak (Eophona personata) or Ikaru is a finch native to the East Palearctic. It is also sometimes referred to as the Japanese or masked hawfinch due to superficial similarities to the well-known Eurasian species.,NO IMG,https://en.wikipedia.org/wiki/Japanese_grosbeak
helmet vanga,"The helmet vanga (Euryceros prevostii) is a distinctive-looking bird of the vanga family, Vangidae, and is classified in its own genus, Euryceros. It is mainly blue-black, with rufous wings and a huge arched blue bill.",https://upload.wikimedia.org/wikipedia/commons/8/89/EurycerosPrevostiiSkeleton.jpg,https://en.wikipedia.org/wiki/Helmet_vanga
hepatic tanager,"The hepatic tanager (Piranga flava) is a medium-sized American songbird. Formerly placed in the tanager family (Thraupidae), it and other members of the genus Piranga are now classified in the cardinal family (Cardinalidae).",https://upload.wikimedia.org/wikipedia/commons/4/46/Piranga_hepatica.jpg,https://en.wikipedia.org/wiki/Hepatic_tanager
himalayan bluetail,"The Himalayan bluetail or Himalayan red-flanked bush-robin also called the Orange-flanked bush-robin (Tarsiger rufilatus) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher of Muscicapidae.  While currently under review, this taxon is not current recognized as a species by BirdLife international.It is closely related to the red-flanked bluetail and was generally treated as a subspecies of it in the past, but as well as differing in its migratory behaviour (the red-flanked bluetail is a long-distance migrant), it also differs in the more intense blue colour of the adult males and the greyer colour of the females and juveniles.",https://upload.wikimedia.org/wikipedia/commons/b/b1/Indian_Robin_%28F%29_I-Haryana_IMG_8045.jpg,https://en.wikipedia.org/wiki/Himalayan_bluetail
